indicator_code,indicator_name,year,indicator_value
WHS3_40,Cholera - number of reported cases,2009 ,13691.0 
WHS3_47,Meningitis - number of reported cases,2010 ,4960.0 
WHS3_47,Meningitis - number of reported cases,1974 ,38.0 
WHS3_47,Meningitis - number of reported cases,1987 ,13609.0 
WHS3_47,Meningitis - number of reported cases,1988 ,8059.0 
WHS3_47,Meningitis - number of reported cases,1997 ,3229.0 
WHS3_47,Meningitis - number of reported cases,1998 ,5948.0 
WHS3_51,H5N1 influenza - number of reported cases,2012 ,0.0 
WHS3_47,Meningitis - number of reported cases,2012 ,1206.0 
CHOLERA_0000000002,Number of reported deaths from cholera,1993 ,266.0 
CHOLERA_0000000002,Number of reported deaths from cholera,1971 ,2945.0 
CHOLERA_0000000002,Number of reported deaths from cholera,1973 ,27.0 
CHOLERA_0000000002,Number of reported deaths from cholera,1976 ,25.0 
CHOLERA_0000000002,Number of reported deaths from cholera,1983 ,2.0 
CHOLERA_0000000002,Number of reported deaths from cholera,1988 ,10.0 
CHOLERA_0000000002,Number of reported deaths from cholera,1998 ,187.0 
CHOLERA_0000000002,Number of reported deaths from cholera,2002 ,154.0 
CHOLERA_0000000002,Number of reported deaths from cholera,2003 ,87.0 
MENING_1,Number of suspected meningitis deaths reported,1977 ,835.0 
MENING_1,Number of suspected meningitis deaths reported,2003 ,531.0 
MENING_1,Number of suspected meningitis deaths reported,1982 ,68.0 
MENING_1,Number of suspected meningitis deaths reported,2009 ,2488.0 
MENING_3,Number of meningitis epidemic districts,2005 ,0.0 
CHOLERA_0000000001,Number of reported cases of cholera,1977 ,376.0 
CHOLERA_0000000001,Number of reported cases of cholera,1983 ,178.0 
CHOLERA_0000000001,Number of reported cases of cholera,1988 ,137.0 
CHOLERA_0000000001,Number of reported cases of cholera,1991 ,59478.0 
CHOLERA_0000000001,Number of reported cases of cholera,1996 ,12374.0 
CHOLERA_0000000001,Number of reported cases of cholera,1985 ,30.0 
CHOLERA_0000000001,Number of reported cases of cholera,1970 ,15.0 
CHOLERA_0000000001,Number of reported cases of cholera,1986 ,91.0 
CHOLERA_0000000001,Number of reported cases of cholera,2005 ,4477.0 
CHOLERA_0000000001,Number of reported cases of cholera,1997 ,1322.0 
CHOLERA_0000000001,Number of reported cases of cholera,1999 ,26358.0 
CHOLERA_0000000001,Number of reported cases of cholera,2010 ,44456.0 
CHOLERA_0000000001,Number of reported cases of cholera,2011 ,23377.0 
CHOLERA_0000000003,Cholera case fatality rate,1994 ,11.0 
CHOLERA_0000000003,Cholera case fatality rate,1975 ,2.6 
CHOLERA_0000000003,Cholera case fatality rate,1977 ,2.7 
CHOLERA_0000000003,Cholera case fatality rate,1978 ,10.2 
CHOLERA_0000000003,Cholera case fatality rate,1984 ,11.1 
CHOLERA_0000000003,Cholera case fatality rate,1989 ,5.7 
CHOLERA_0000000003,Cholera case fatality rate,1992 ,7.9 
CHOLERA_0000000003,Cholera case fatality rate,1996 ,9.6 
CHOLERA_0000000003,Cholera case fatality rate,1985 ,0.0 
CHOLERA_0000000003,Cholera case fatality rate,2009 ,3.2 
