indicator_code,indicator_name,year,age_group,sex,indicator_value
CHOL_01,Raised total cholesterol (>= 5.0 mmol/L) (crude estimate),2008,25+ years,Both sexes,
CHOL_02,Raised total cholesterol (>= 5.0 mmol/L) (age-standardized estimate),2008,25+ years,Female,
CHOL_06,Raised total cholesterol (&#8805; 6.2 mmol/L) (crude estimate),2008,25+ years,Male,
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1982,20+ years,Male,21
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1983,20+ years,Male,21.1
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1984,20+ years,Male,21.1
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1985,20+ years,Male,21.1
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1998,20+ years,Male,22
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1999,20+ years,Male,22
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),2000,20+ years,Male,22.1
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),2001,20+ years,Male,22.2
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1983,20+ years,Female,22
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1984,20+ years,Female,22
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1985,20+ years,Female,22.1
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),1986,20+ years,Female,22.1
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),2000,20+ years,Female,23
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),2001,20+ years,Female,23.1
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),2002,20+ years,Female,23.1
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),2003,20+ years,Female,23.2
