indicator_code,indicator_name,year,indicator_value
NTD_3,Annual incidence of dracunculiasis cases,2002,3820
NTD_3,Annual incidence of dracunculiasis cases,2003,1459
NTD_3,Annual incidence of dracunculiasis cases,2004,495
NTD_3,Annual incidence of dracunculiasis cases,1990,394082
NTD_3,Annual incidence of dracunculiasis cases,1991,281937
NTD_3,Annual incidence of dracunculiasis cases,1992,183169
NTD_3,Annual incidence of dracunculiasis cases,1993,75752
NTD_3,Annual incidence of dracunculiasis cases,1994,39774
NTD_3,Annual incidence of dracunculiasis cases,1995,16374
NTD_3,Annual incidence of dracunculiasis cases,1996,12282
NTD_3,Annual incidence of dracunculiasis cases,1997,12590
NTD_3,Annual incidence of dracunculiasis cases,1998,13420
NTD_3,Annual incidence of dracunculiasis cases,1999,13237
NTD_3,Annual incidence of dracunculiasis cases,2000,7869
NTD_3,Annual incidence of dracunculiasis cases,2001,5355
NTD_3,Annual incidence of dracunculiasis cases,1989,640008
NTD_3,Annual incidence of dracunculiasis cases,2005,120
NTD_3,Annual incidence of dracunculiasis cases,2006,16
NTD_3,Annual incidence of dracunculiasis cases,2007,73
NTD_3,Annual incidence of dracunculiasis cases,2008,38
NTD_3,Annual incidence of dracunculiasis cases,2009,0
NTD_3,Annual incidence of dracunculiasis cases,2010,0
NTD_2,Dracunculiasis certification status of countries at the beginning of the year,2013,
NTD_1,Number of new reported cases of Buruli ulcer,2011,4
NTD_1,Number of new reported cases of Buruli ulcer,2010,7
NTD_1,Number of new reported cases of Buruli ulcer,2006,9
NTD_1,Number of new reported cases of Buruli ulcer,2013,23
NTD_1,Number of new reported cases of Buruli ulcer,2009,24
NTD_1,Number of new reported cases of Buruli ulcer,2012,40
NTD_1,Number of new reported cases of Buruli ulcer,2002,
NTD_1,Number of new reported cases of Buruli ulcer,2003,
NTD_1,Number of new reported cases of Buruli ulcer,2004,
NTD_1,Number of new reported cases of Buruli ulcer,2005,
NTD_1,Number of new reported cases of Buruli ulcer,2007,
NTD_1,Number of new reported cases of Buruli ulcer,2008,
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),1991,0
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),1992,0
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),1993,0
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),1994,0
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),1995,0
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),1996,0
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),1997,0
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),1998,0
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),2007,0
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),2008,0
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),2009,0
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),2013,0
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),2010,2
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),2012,2
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),2006,3
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),2011,3
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),2004,10
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),2000,14
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),2001,14
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),2005,21
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),1990,24
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),2002,26
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),1999,27
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),2003,31
NTD_8,Number of people who received treatment with antibiotics for trachoma,2005,7533
NTD_8,Number of people who received treatment with antibiotics for trachoma,2006,
NTD_8,Number of people who received treatment with antibiotics for trachoma,2007,
NTD_8,Number of people who received treatment with antibiotics for trachoma,2008,0
NTD_8,Number of people who received treatment with antibiotics for trachoma,2009,15000
NTD_8,Number of people who received treatment with antibiotics for trachoma,2010,1100197
NTD_8,Number of people who received treatment with antibiotics for trachoma,2011,2802109
NTD_8,Number of people who received treatment with antibiotics for trachoma,2012,3421248
NTD_1,Number of new reported cases of Buruli ulcer,2014,65
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),2014,0
NTD_7,"Population in areas that warrant treatment with antibiotics, facial cleanliness and environmental improvement for elimination of trachoma as a public health problem",2013,18445018
NTD_7,"Population in areas that warrant treatment with antibiotics, facial cleanliness and environmental improvement for elimination of trachoma as a public health problem",2014,24720588
NTD_7,"Population in areas that warrant treatment with antibiotics, facial cleanliness and environmental improvement for elimination of trachoma as a public health problem",2015,19996558
NTD_8,Number of people who received treatment with antibiotics for trachoma,2013,5383105
NTD_8,Number of people who received treatment with antibiotics for trachoma,2014,4554138
NTD_8,Number of people who received treatment with antibiotics for trachoma,2015,44026
NTD_TRA5,Number of people operated for trachomatous trichiasis,2014,8210
NTD_TRA5,Number of people operated for trachomatous trichiasis,2015,11411
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),2015,0
NTD_1,Number of new reported cases of Buruli ulcer,2015,114
NTD_1,Number of new reported cases of Buruli ulcer,2016,235
NTD_7,"Population in areas that warrant treatment with antibiotics, facial cleanliness and environmental improvement for elimination of trachoma as a public health problem",2016,21837512
NTD_8,Number of people who received treatment with antibiotics for trachoma,2016,7976993
NTD_TRA5,Number of people operated for trachomatous trichiasis,2016,13444
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),2016,1
NTD_7,"Population in areas that warrant treatment with antibiotics, facial cleanliness and environmental improvement for elimination of trachoma as a public health problem",2017,19868226
NTD_8,Number of people who received treatment with antibiotics for trachoma,2017,6034667
NTD_TRA5,Number of people operated for trachomatous trichiasis,2017,10813
NTD_1,Number of new reported cases of Buruli ulcer,2017,259
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),2017,0
NTD_1,Number of new reported cases of Buruli ulcer,2018,424
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),2018,0
NTD_7,"Population in areas that warrant treatment with antibiotics, facial cleanliness and environmental improvement for elimination of trachoma as a public health problem",2018,21243693
NTD_8,Number of people who received treatment with antibiotics for trachoma,2018,11329581
NTD_TRA5,Number of people operated for trachomatous trichiasis,2018,14819
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),2019,0
NTD_7,"Population in areas that warrant treatment with antibiotics, facial cleanliness and environmental improvement for elimination of trachoma as a public health problem",2019,13907587
NTD_8,Number of people who received treatment with antibiotics for trachoma,2019,9300261
NTD_TRA5,Number of people operated for trachomatous trichiasis,2019,23717
NTD_6,Status of elimination of trachoma as a public health problem,2020,
