indicator_code,indicator_name,year,age_group,sex,cause_code,cause_name,indicator_value
GBD_DALYRTAGE,"Age-standardized DALYs (per 100,000)",2000,,,GHE000,All Causes,111479.7969
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE016,Tetanus,8.1251
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE017,Meningitis,58.10979
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE018,Encephalitis,3.5131
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE019,Acute hepatitis B,5.77525
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE032,Rabies,3.47466
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE033,Intestinal nematode infections,0.09233
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE037,Other infectious diseases,31.81833
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE038,Respiratory infections,358.91354
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE039,Lower respiratory infections,357.97012
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE063,Oesophagus cancer,0.67177
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE064,Stomach cancer,3.74237
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE065,Colon and rectum cancers,4.0622
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE066,Liver cancer,16.67146
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE080,Diabetes mellitus,46.81119
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE081,"Endocrine, blood, immune disorders",13.84972
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE082,Mental and behavioral disorders,2.06484
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE094,Neurological conditions,29.74951
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE118,Chronic obstructive pulmonary disease,21.68979
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE119,Asthma,12.83832
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE120,Other respiratory diseases,10.61693
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE121,Digestive diseases,126.86712
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE141,Neural tube defects,1.81486
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE142,Cleft lip and cleft palate,0.05449
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE143,Down's syndrome,0.48669
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE144,Congenital heart anomalies,3.04869
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE162,Interpersonal violence,25.82763
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Both sexes,GHE163,Collective violence and legal intervention,0.96471
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE000,All Causes,2178.3769
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE001,Communicable & other Group I,1216.22899
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE020,Acute hepatitis C,0.89327
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE022,Malaria,113.25889
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE023,Trypanosomiasis,0.24395
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE039,Lower respiratory infections,388.96933
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE040,Upper respiratory infections,0.88556
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE042,Maternal conditions,0
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE049,Neonatal conditions,93.77322
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE050,Preterm birth complications,38.30584
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE067,Pancreas cancer,3.02982
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE068,"Trachea, bronchus, lung cancers",1.46032
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE069,Melanoma and other skin cancers,1.71551
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE070,Breast cancer,0
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE095,Alzheimer's disease and other dementias,3.6601
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE096,Parkinson's disease,5.71616
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE097,Epilepsy,17.20518
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE098,Multiple sclerosis,0.24416
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE122,Peptic ulcer disease,37.96289
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE123,Cirrhosis of the liver,59.13087
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE124,Appendicitis,13.35115
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE125,Other digestive diseases,62.60755
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE145,Other chromosomal anomalies,0.43519
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE146,Other congenital anomalies,4.34339
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE151,Injuries,199.36004
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Male,GHE152,Unintentional injuries,146.94266
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE002,Infectious and parasitic diseases,670.05214
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE004,STDs excluding HIV,5.13979
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE010,HIV/AIDS,144.15772
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE024,Chagas disease,0
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE025,Schistosomiasis,3.95514
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE026,Leishmaniasis,0.64736
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE027,Lymphatic filariasis,0
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE050,Preterm birth complications,29.41243
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE051,Birth asphyxia and birth trauma,26.88589
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE052,Neonatal sepsis and infections,10.57179
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE053,Other neonatal conditions,1.63254
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE054,Nutritional deficiencies,71.83267
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE071,Cervix uteri cancer,28.79995
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE072,Corpus uteri cancer,2.35382
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000,,Female,GHE073,Ovary cancer,3.22645
